X-Easting	Y-Northing	Z-Elevation
-327.1312033	-63.60299116	84
-295.7171992	-72.87559483	84
-265.4112848	-78.15091774	84
-219.9864038	-81.03331067	84
-178.9326988	-76.98164514	84
-457.0632223	-33.66417403	85
-439.8640381	-19.14343984	85
-418.3684568	-0.48946295	85
-403.378654	21.01971448	85
-397.0360299	42.31135282	85
-392.7532291	48.45683209	85
-385.1189667	38.58599592	85
-379.6193066	24.63630184	85
-368.6335826	-1.250849762	85
-353.3582597	-21.99864038	85
-338.1373216	-34.6974847	85
-325.1529572	-36.38341264	85
-319.721278	-40.27192386	85
-321.8422842	-46.36301835	85
-302.3317471	-53.9225017	85
-274.1876275	-59.25220938	85
-236.3154317	-64.33718559	85
-181.1760707	-64.96261047	85
-134.7518695	-55.74439157	85
-86.25424881	-33.39225017	85
-50.69340585	-16.39700884	85
-38.85791978	-8.048946295	85
-468.8919103	-43.01835486	85
-488.3140721	-48.53840925	85
-503.4670292	-45.90074779	85
-518.6471788	-39.23861319	85
-529.4969409	-33.47382733	85
-530.774983	-4.323589395	86
-514.4663494	-18.00135962	86
-496.0163154	-28.60639021	86
-484.0924541	-33.3378654	86
-465.7851802	-22.81441196	86
-448.5859959	-8.29367777	86
-428.1645139	9.326988443	86
-414.228416	26.78450034	86
-403.5146159	41.14208022	86
-400.3738953	56.31543168	86
-396.1114888	65.47926581	86
-388.4636302	53.59619307	86
-376.4581917	36.79129844	86
-361.1828688	16.04350782	86
-342.67845	-2.610469069	86
-327.4507138	-16.31543168	86
-300.3195105	-31.73351462	86
-279.7416723	-37.253569	86
-250.5098572	-43.56220258	86
-223.4806254	-43.88851122	86
-184.5955133	-38.88511217	86
-145.7579878	-26.83888511	86
-108.0149558	-12.80761387	86
-78.91910265	1.006118287	86
-62.78042148	12.48130523	86
-49.87083617	21.86267845	86
-528.7151598	10.82256968	87
-513.5078178	0.135961931	87
-501.5839565	-4.595513256	87
-494.010877	-5.41128484	87
-484.3167913	-0.135961931	87
-471.3936098	7.233174711	87
-453.0863358	17.75662814	87
-430.4690687	30.4010877	87
-418.6675731	43.77974167	87
-410.1359619	61.10129164	87
-405.9279402	78.31407206	87
-403.8273283	87.42352141	87
-399.5105371	88.53840925	87
-390.7681849	74.67029232	87
-377.6478586	52.86199864	87
-356.900068	22.18898708	87
-335.1325629	0.598232495	87
-313.3922502	-16.96804895	87
-290.6186268	-27.46430999	87
-258.1509177	-32.68524813	87
-220.2991162	-34.75186948	87
-174.9354181	-28.57919782	87
-138.2460911	-18.59959211	87
-100.5234534	-1.54996601	87
-73.58259687	11.20326309	87
-53.12712441	23.79333787	87
-405.0373895	106.5125765	88
-410.3670972	95.30931339	88
-417.8042148	76.00271924	88
-427.4303195	60.66621346	88
-435.9823249	46.36301835	88
-446.7233175	36.02991162	88
-459.646499	28.66077498	88
-476.8932699	21.1828688	88
-488.7491502	15.85316111	88
-499.5649218	16.58735554	88
-511.4887831	21.31883073	88
-521.2780421	30.12916383	88
-529.9660095	35.94833447	88
-395.2413324	96.69612509	88
-378.9191027	81.00611829	88
-370.1563562	64.1196465	88
-358.1509177	47.31475187	88
-347.2603671	35.51325629	88
-330.9245411	17.81101292	88
-312.4609109	5.193745751	88
